id,statement,label,label_name
RD-00001,喝汤比吃菜更有营养是谣言,1,谣言
RD-00002,吃人参能治百病是谣言,1,谣言
RD-00003,穿束腰能缩小腰围是谣言,1,谣言
RD-00004,新冠可以通过食物传播是谣言,1,谣言
RD-00005,自制水果酵素瘦身美容是谣言,1,谣言
RD-00006,早餐是重要一餐有助维持代谢水平不是谣言,0,非谣言
RD-00007,国家免费疫苗包含多种基础疾病预防项目不是谣言,0,非谣言
RD-00008,胰腺癌是因为糖吃太多是谣言,1,谣言
RD-00009,癌症是因为“气”憋出来的是谣言,1,谣言
RD-00010,拍打拉筋不具有医学确切证据支持疗效不是谣言,0,非谣言
RD-00011,得新冠就不会再得第二次是谣言,1,谣言
RD-00012,手指长倒刺是常见现象，和维生素缺乏无关，是由于物理摩擦或洗手过多所致不是谣言,0,非谣言
RD-00013,揉眼可带入细菌并伤害角膜不是谣言,0,非谣言
RD-00014,传染病患者可依法结婚和生育不是谣言,0,非谣言
RD-00015,过度刷夜可能引发视疲劳与干眼不是谣言,0,非谣言
RD-00016,月经期间吃冷饮会不孕是谣言,1,谣言
RD-00017,电脑模式开护眼色就不伤眼是谣言,1,谣言
RD-00018,吸烟有害健康不具备抗病毒作用不是谣言,0,非谣言
RD-00019,喝红糖水不能治疗痛经。不是谣言,0,非谣言
RD-00020,吃粗粮可以治愈糖尿病是谣言,1,谣言
RD-00021,所谓“寒湿体质”需综合分析非单一指标不是谣言,0,非谣言
RD-00022,心理疾病只能通过药物解决是谣言,1,谣言
RD-00023,按摩耳朵可以治疗高血压是谣言,1,谣言
RD-00024,空腹运动并不一定更燃脂反而可能造成能量不足不是谣言,0,非谣言
RD-00025,抗病毒药物越早吃越好是谣言,1,谣言
RD-00026,醋泡脚治脚气是谣言,1,谣言
RD-00027,打疫苗后仍需保持良好生活习惯提升防护效果不是谣言,0,非谣言
RD-00028,失眠人群不建议日间补觉。不是谣言,0,非谣言
RD-00029,存在易胖体质不是谣言,0,非谣言
RD-00030,消化功能较弱的人群：饭前空腹吃水果可能引发不适。水果中的果酸易刺激肠胃，可能导致腹痛、腹泻、胃痛等症状，这类人群更适合饭后吃水果。不是谣言,0,非谣言
RD-00031,毛孔能用冰水收缩是谣言,1,谣言
RD-00032,体检报告上，HPV和TCT结果有异常，就是宫颈癌是谣言,1,谣言
RD-00033,高温睡眠环境不利深度睡眠不是谣言,0,非谣言
RD-00034,山药含淀粉质不适合糖尿病患者多食不是谣言,0,非谣言
RD-00035,眼保健操可改善眼部血液循环但非治近视手段不是谣言,0,非谣言
RD-00036,味精不致癌不是谣言,0,非谣言
RD-00037,打疫苗会影响智力发育是谣言,1,谣言
RD-00038,清晨做广播操能排出体内湿气是谣言,1,谣言
RD-00039,心理疾病能通过锻炼治愈是谣言,1,谣言
RD-00040,出汗是水分流失，不等于脂肪减少不是谣言,0,非谣言
RD-00041,睡太久脑子会变迟钝是谣言,1,谣言
RD-00042,疫苗注射后记忆力变差是谣言,1,谣言
RD-00043,跳绳10分钟等于跑步半小时是谣言,1,谣言
RD-00044,不打疫苗的人易感染传播疾病危害他人不是谣言,0,非谣言
RD-00045,泡脚时间并非越长越好不是谣言,0,非谣言
RD-00046,长时间桑拿可能导致脱水并非排毒不是谣言,0,非谣言
RD-00047,怀孕早期同房会导致胎儿畸形是谣言,1,谣言
RD-00048,食材种类多样化比追求单一神效更重要不是谣言,0,非谣言
RD-00049,狂犬病预防需及时接种疫苗不是谣言,0,非谣言
RD-00050,疫苗能使机体产生特异性抗体预防感染不是谣言,0,非谣言
RD-00051,刮痧越出痧代表病越重是谣言,1,谣言
RD-00052,锻炼过度不利于恢复和健康不是谣言,0,非谣言
RD-00053,所有慢性病都能靠调理根治是谣言,1,谣言
RD-00054,指甲月牙多才健康是谣言,1,谣言
RD-00055,部分无糖产品可能添加较多油脂，因此仍属于高能量食品，过量食用可能导致肥胖不是谣言,0,非谣言
RD-00056,HPV疫苗会让人不孕是谣言,1,谣言
RD-00057,多吃蛋黄补脑是谣言,1,谣言
RD-00058,喝酵素就能清肠减肥是谣言,1,谣言
RD-00059,饮食结构对癌症风险有影响但不能完全预防不是谣言,0,非谣言
RD-00060,疫苗是人工疾病的源头是谣言,1,谣言
RD-00061,内脏脂肪减少需整体生活方式改变不是谣言,0,非谣言
RD-00062,孕妇不能接种任何疫苗是谣言,1,谣言
RD-00063,每天固定时间起床伤身体是谣言,1,谣言
RD-00064,癌症复发与肿瘤特性及个体差异有关不是谣言,0,非谣言
RD-00065,长期近距离用眼是近视的主要诱因之一不是谣言,0,非谣言
RD-00066,眼镜配戴不会导致眼睛“变懒”不是谣言,0,非谣言
RD-00067,用银饰能检测食物是否有毒是谣言,1,谣言
RD-00068,咳嗽可能是多种疾病表现需评估传染性不是谣言,0,非谣言
RD-00069,减肥不是谣言,0,非谣言
RD-00070,体重不降说明运动无效是谣言,1,谣言
RD-00071,男人射精越多越容易秃头是谣言,1,谣言
RD-00072,量子美容可以除皱抗衰是谣言,1,谣言
RD-00073,接种疫苗是个人与公共健康责任的体现不是谣言,0,非谣言
RD-00074,中医中的“补肾”需明确具体证型不是谣言,0,非谣言
RD-00075,心态好就不会有心理疾病是谣言,1,谣言
RD-00076,不食用野生蘑菇和野生植物等，以免引发食物中毒。不是谣言,0,非谣言
RD-00077,消毒剂严禁饮用不是谣言,0,非谣言
RD-00078,吃韭菜可壮阳治疗阳痿是谣言,1,谣言
RD-00079,胎动越多说明越健康是谣言,1,谣言
RD-00080,睡眠不足会影响专注力判断力与记忆力不是谣言,0,非谣言
RD-00081,煎中药器皿应避免铝铁但不必迷信砂锅不是谣言,0,非谣言
RD-00082,痛风治疗目标是控制血尿酸水平不是谣言,0,非谣言
RD-00083,吃得慢有助提升饱腹感减少总摄入不是谣言,0,非谣言
RD-00084,. 吃芹菜不能降血压。不是谣言,0,非谣言
RD-00085,血脂升高并不是要少吃肉不是谣言,0,非谣言
RD-00086,咀嚼越快摄入越少是谣言,1,谣言
RD-00087,无发热者也可能为传染源不是谣言,0,非谣言
RD-00088,心理疾病并非装出来也非可耻之事不是谣言,0,非谣言
RD-00089,刷牙时间不是越长越好不是谣言,0,非谣言
RD-00090,心理疾病评估需考虑时间持续性和功能影响不是谣言,0,非谣言
RD-00091,避孕药会导致月经不调一辈子是谣言,1,谣言
RD-00092,勤洗手比消毒手更重要不是谣言,0,非谣言
RD-00093,刮痧出痧越多病越重是谣言,1,谣言
RD-00094,自慰不会导致阳痿如适度无害不是谣言,0,非谣言
RD-00095,阳虚就必须吃羊肉和鹿茸是谣言,1,谣言
RD-00096,精子数量非唯一性能力指标不是谣言,0,非谣言
RD-00097,适量饮酒没好处不是谣言,0,非谣言
RD-00098,癌症是“想多了”造成的是谣言,1,谣言
RD-00099,摄入含铁食物有助提升运动能力不是谣言,0,非谣言
RD-00100,心理问题根本不需要重视是谣言,1,谣言
RD-00101,肌肉酸痛是适应过程但非锻炼效果唯一指标不是谣言,0,非谣言
RD-00102,拔智齿能瘦脸是谣言,1,谣言
RD-00103,肌肉不会变成脂肪，结构完全不同不是谣言,0,非谣言
RD-00104,吃鱼眼不能明目不是谣言,0,非谣言
RD-00105,月经不规律就是怀孕征兆是谣言,1,谣言
RD-00106,红豆薏米水能祛湿减肥是谣言,1,谣言
RD-00107,慢性病管理包括饮食运动心理和用药综合措施不是谣言,0,非谣言
RD-00108,酸奶空腹喝对肠胃最好是谣言,1,谣言
RD-00109,远眺能缓解近距离用眼带来的调节疲劳不是谣言,0,非谣言
RD-00110,调理妇科疾病需排除器质性病变后辨证施治不是谣言,0,非谣言
RD-00111,老人手抖就是帕金森是谣言,1,谣言
RD-00112,疫苗不会破坏免疫系统而是增强其反应能力不是谣言,0,非谣言
RD-00113,阳性不等于重症需综合评估不是谣言,0,非谣言
RD-00114,晚饭吃得早就不会胖是谣言,1,谣言
RD-00115,戴合适眼镜能减缓近视发展不是谣言,0,非谣言
RD-00116,心理疾病也可通过教育和科普减少误解不是谣言,0,非谣言
RD-00117,手掌颜色能看五脏功能是谣言,1,谣言
RD-00118,禽流感病毒无法通过熟鸡蛋传播不是谣言,0,非谣言
RD-00119,吃香蕉通便但不能空腹是谣言,1,谣言
